,0,1
0,neutral,0.8
1,entailment,1.0
2,contradiction,1.0
3,entailment,1.0
4,neutral,0.6
5,contradiction,1.0
6,contradiction,1.0
7,neutral,0.6
8,entailment,0.8
9,entailment,0.6
10,contradiction,1.0
11,neutral,1.0
12,neutral,0.8
13,entailment,0.6
14,contradiction,1.0
15,entailment,0.6
16,neutral,0.8
17,contradiction,1.0
18,entailment,1.0
19,contradiction,1.0
20,contradiction,0.6
21,entailment,1.0
22,neutral,0.8
23,contradiction,1.0
24,neutral,0.6
25,entailment,1.0
26,contradiction,1.0
27,contradiction,0.8
28,contradiction,0.6
29,contradiction,0.8
30,entailment,0.8
31,contradiction,0.8
32,neutral,0.8
33,entailment,1.0
34,contradiction,1.0
35,neutral,0.8
36,entailment,0.8
37,contradiction,1.0
38,neutral,1.0
39,contradiction,0.6
40,neutral,0.6
41,neutral,0.6
42,contradiction,1.0
43,entailment,1.0
44,neutral,1.0
45,contradiction,0.8
46,entailment,1.0
47,neutral,0.8
48,neutral,1.0
49,contradiction,1.0
50,entailment,1.0
51,neutral,0.8
52,contradiction,1.0
53,entailment,0.8
54,neutral,0.6
55,entailment,0.8
56,contradiction,0.8
57,entailment,1.0
58,contradiction,0.8
59,neutral,0.6
60,contradiction,0.8
61,neutral,1.0
62,entailment,0.6
63,contradiction,0.6
64,neutral,1.0
65,entailment,0.8
66,contradiction,1.0
67,neutral,1.0
68,contradiction,1.0
69,entailment,1.0
70,neutral,0.8
71,contradiction,1.0
72,entailment,1.0
73,neutral,0.8
74,contradiction,1.0
75,entailment,0.8
76,neutral,1.0
77,neutral,1.0
78,contradiction,1.0
79,entailment,1.0
80,neutral,0.8
81,entailment,1.0
82,contradiction,1.0
83,contradiction,1.0
84,entailment,0.8
85,neutral,1.0
86,entailment,0.8
87,entailment,1.0
88,contradiction,1.0
89,neutral,0.6
90,contradiction,1.0
91,entailment,1.0
92,neutral,1.0
93,contradiction,0.8
94,entailment,1.0
95,entailment,0.6
96,contradiction,1.0
97,entailment,1.0
98,neutral,1.0
99,contradiction,1.0
100,entailment,1.0
101,neutral,1.0
102,contradiction,1.0
103,entailment,1.0
104,entailment,1.0
105,neutral,1.0
106,contradiction,1.0
107,neutral,1.0
108,contradiction,1.0
109,entailment,0.8
110,entailment,1.0
111,neutral,1.0
112,contradiction,0.8
113,contradiction,1.0
114,entailment,1.0
115,neutral,1.0
116,entailment,0.8
117,entailment,0.6
118,contradiction,1.0
119,contradiction,0.8
120,contradiction,1.0
121,entailment,1.0
122,entailment,0.6
123,neutral,0.6
124,contradiction,0.6
125,neutral,1.0
126,contradiction,1.0
127,entailment,1.0
128,entailment,0.6
129,contradiction,1.0
130,neutral,1.0
131,entailment,1.0
132,contradiction,1.0
133,neutral,0.8
134,neutral,0.8
135,contradiction,1.0
136,neutral,0.6
137,entailment,1.0
138,contradiction,1.0
139,neutral,1.0
140,neutral,0.6
141,neutral,0.6
142,neutral,0.6
143,neutral,0.8
144,entailment,1.0
145,contradiction,0.8
146,entailment,0.8
147,contradiction,1.0
148,entailment,0.8
149,contradiction,0.8
150,entailment,1.0
151,neutral,0.8
152,contradiction,1.0
153,neutral,0.6
154,entailment,1.0
155,neutral,0.6
156,neutral,0.8
157,entailment,1.0
158,contradiction,1.0
159,entailment,1.0
160,neutral,0.8
161,neutral,1.0
162,entailment,1.0
163,contradiction,1.0
164,neutral,0.8
165,entailment,1.0
166,contradiction,1.0
167,neutral,1.0
168,entailment,1.0
169,contradiction,1.0
170,neutral,1.0
171,contradiction,1.0
172,entailment,1.0
173,contradiction,1.0
174,neutral,0.8
175,entailment,0.8
176,entailment,1.0
177,neutral,1.0
178,contradiction,0.8
179,contradiction,0.8
180,neutral,1.0
181,entailment,1.0
182,contradiction,0.8
183,entailment,1.0
184,neutral,0.6
185,contradiction,1.0
186,neutral,0.8
187,entailment,0.6
188,contradiction,0.8
189,neutral,0.8
190,entailment,0.6
191,entailment,0.8
192,neutral,1.0
193,contradiction,1.0
194,contradiction,1.0
195,entailment,1.0
196,neutral,0.6
197,contradiction,1.0
198,entailment,1.0
199,contradiction,0.6
200,neutral,0.8
201,contradiction,1.0
202,contradiction,1.0
203,entailment,0.6
204,neutral,0.8
205,contradiction,1.0
206,entailment,0.6
207,neutral,1.0
208,contradiction,1.0
209,neutral,1.0
210,entailment,1.0
211,contradiction,0.8
212,neutral,0.8
213,neutral,0.6
214,contradiction,0.8
215,neutral,1.0
216,entailment,1.0
217,neutral,0.6
218,neutral,1.0
219,entailment,0.8
220,neutral,0.8
221,contradiction,0.8
222,entailment,1.0
223,neutral,1.0
224,contradiction,1.0
225,contradiction,1.0
226,neutral,0.6
227,entailment,1.0
228,entailment,1.0
229,neutral,0.8
230,contradiction,1.0
231,contradiction,0.6
232,entailment,1.0
233,contradiction,1.0
234,neutral,0.8
235,neutral,0.6
236,contradiction,1.0
237,contradiction,1.0
238,entailment,1.0
239,neutral,1.0
240,neutral,1.0
241,contradiction,1.0
242,entailment,1.0
243,contradiction,1.0
244,entailment,1.0
245,neutral,0.8
246,entailment,1.0
247,entailment,0.6
248,contradiction,1.0
249,neutral,0.8
250,contradiction,0.8
251,entailment,1.0
252,contradiction,1.0
253,neutral,0.6
254,neutral,0.8
255,contradiction,1.0
256,neutral,1.0
257,entailment,0.6
258,neutral,0.8
259,entailment,1.0
260,contradiction,1.0
261,entailment,0.8
262,entailment,0.8
263,contradiction,1.0
264,neutral,0.8
265,contradiction,1.0
266,entailment,1.0
267,entailment,0.8
268,contradiction,1.0
269,entailment,0.6
270,contradiction,1.0
271,entailment,0.8
272,neutral,0.6
273,neutral,0.6
274,entailment,1.0
275,contradiction,1.0
276,entailment,1.0
277,neutral,0.6
278,contradiction,1.0
279,neutral,0.6
280,contradiction,0.6
281,neutral,0.8
282,entailment,1.0
283,contradiction,1.0
284,entailment,1.0
285,contradiction,1.0
286,neutral,0.8
287,entailment,1.0
288,neutral,1.0
289,contradiction,1.0
290,entailment,0.6
291,contradiction,0.6
292,neutral,1.0
293,entailment,0.8
294,neutral,1.0
295,contradiction,0.8
296,entailment,0.8
297,neutral,0.6
298,contradiction,1.0
299,contradiction,0.6
300,entailment,0.6
301,contradiction,1.0
302,neutral,1.0
303,entailment,1.0
304,contradiction,1.0
305,contradiction,1.0
306,neutral,0.8
307,entailment,0.8
308,neutral,1.0
309,contradiction,0.6
310,entailment,1.0
311,neutral,0.8
312,contradiction,1.0
313,entailment,0.8
314,entailment,0.6
315,contradiction,0.8
316,neutral,0.8
317,neutral,0.6
318,contradiction,0.8
319,entailment,0.6
320,entailment,1.0
321,neutral,1.0
322,contradiction,0.6
323,entailment,1.0
324,neutral,1.0
325,contradiction,1.0
326,neutral,0.8
327,entailment,1.0
328,contradiction,1.0
329,neutral,0.8
330,entailment,1.0
331,contradiction,0.8
332,neutral,0.6
333,neutral,0.8
334,entailment,1.0
335,contradiction,1.0
336,neutral,0.8
337,neutral,1.0
338,entailment,1.0
339,contradiction,1.0
340,neutral,1.0
341,entailment,1.0
342,contradiction,1.0
343,entailment,0.6
344,contradiction,1.0
345,neutral,0.6
346,entailment,1.0
347,neutral,1.0
348,contradiction,1.0
349,entailment,0.6
350,entailment,1.0
351,contradiction,1.0
352,contradiction,1.0
353,entailment,0.6
354,entailment,0.8
355,entailment,1.0
356,neutral,1.0
357,neutral,0.6
358,neutral,0.8
359,contradiction,1.0
360,neutral,0.8
361,entailment,1.0
362,neutral,0.8
363,contradiction,1.0
364,entailment,0.8
365,neutral,0.6
366,contradiction,1.0
367,contradiction,1.0
368,contradiction,1.0
369,neutral,0.6
370,entailment,0.8
371,entailment,0.8
372,contradiction,1.0
373,neutral,0.6
374,neutral,1.0
375,entailment,0.8
376,contradiction,1.0
377,neutral,1.0
378,entailment,1.0
379,contradiction,1.0
380,contradiction,0.8
381,neutral,0.8
382,entailment,0.8
383,entailment,1.0
384,neutral,1.0
385,contradiction,1.0
386,contradiction,0.8
387,neutral,0.6
388,entailment,1.0
389,contradiction,1.0
390,neutral,1.0
391,entailment,1.0
392,entailment,0.6
393,contradiction,0.8
394,neutral,0.8
395,contradiction,0.8
396,neutral,1.0
397,entailment,1.0
398,contradiction,1.0
399,neutral,0.8
