,0,1
0,neutral,0.5333333333333333
1,entailment,0.7333333333333333
2,contradiction,0.6666666666666666
3,entailment,0.4
4,entailment,0.4
5,contradiction,0.6666666666666666
6,contradiction,0.5333333333333333
7,neutral,0.5333333333333333
8,neutral,0.6666666666666666
9,contradiction,0.4
10,contradiction,0.6666666666666666
11,neutral,0.5333333333333333
12,contradiction,0.4
13,entailment,0.4666666666666667
14,contradiction,0.4666666666666667
15,neutral,0.4666666666666667
16,neutral,0.5333333333333333
17,contradiction,0.6666666666666666
18,entailment,0.6
19,contradiction,0.4666666666666667
20,neutral,0.5333333333333333
21,entailment,0.6666666666666666
22,neutral,0.6666666666666666
23,contradiction,0.5333333333333333
24,contradiction,0.3333333333333333
25,entailment,0.5333333333333333
26,contradiction,0.5333333333333333
27,contradiction,0.6
28,contradiction,0.6
29,contradiction,0.4
30,entailment,0.6
31,neutral,0.4
32,entailment,0.4
33,entailment,0.7333333333333333
34,contradiction,0.7333333333333333
35,contradiction,0.4
36,entailment,0.4
37,contradiction,0.4666666666666667
38,neutral,0.7333333333333333
39,contradiction,0.5333333333333333
40,neutral,0.4666666666666667
41,neutral,0.6
42,contradiction,0.6
43,entailment,0.4
44,neutral,0.5333333333333333
45,contradiction,0.4666666666666667
46,entailment,0.5333333333333333
47,neutral,0.4
48,neutral,0.4666666666666667
49,contradiction,0.6
50,entailment,0.5333333333333333
51,neutral,0.5333333333333333
52,contradiction,0.4666666666666667
53,entailment,0.4666666666666667
54,entailment,0.4
55,entailment,0.4666666666666667
56,contradiction,0.5333333333333333
57,entailment,0.4666666666666667
58,contradiction,0.6
59,neutral,0.4
60,contradiction,0.4666666666666667
61,neutral,0.5333333333333333
62,entailment,0.4
63,contradiction,0.4
64,neutral,0.6666666666666666
65,contradiction,0.4666666666666667
66,contradiction,0.6666666666666666
67,neutral,0.5333333333333333
68,contradiction,0.5333333333333333
69,entailment,0.4666666666666667
70,neutral,0.4666666666666667
71,contradiction,0.4666666666666667
72,entailment,0.5333333333333333
73,neutral,0.4
74,contradiction,0.6
75,entailment,0.4666666666666667
76,neutral,0.6
77,neutral,0.7333333333333333
78,contradiction,0.6
79,entailment,0.6
80,entailment,0.4
81,entailment,0.6666666666666666
82,contradiction,0.4666666666666667
83,contradiction,0.5333333333333333
84,entailment,0.5333333333333333
85,neutral,0.7333333333333333
86,entailment,0.6666666666666666
87,entailment,0.6
88,contradiction,0.5333333333333333
89,entailment,0.5333333333333333
